OG	SAMP	assembly	size
OG74	OG74.ilmn.240813	OG74.ilmn.240813.v129mh.fna	478.860 MiB
OG76	OG76.ilmn.230814	OG76.ilmn.230814.v129mh.fna	0 B
OG80	OG80.ilmn.240716	OG80.ilmn.240716.v129mh.fna	1.242 GiB
OG82	OG82.ilmn.240313	OG82.ilmn.240313.v129mh.fna	648.432 MiB
OG83	OG83.ilmn.240716	OG83.ilmn.240716.v129mh.fna	1.958 GiB
OG85	OG85.ilmn.240313	OG85.ilmn.240313.v129mh.fna	655.270 MiB
OG86	OG86.ilmn.240716	OG86.ilmn.240716.v129mh.fna	763.245 MiB
OG87	OG87.ilmn.231024	OG87.ilmn.231024.v129mh.fna	748.495 MiB
OG88	OG88.ilmn.230814	OG88.ilmn.230814.v129mh.fna	563.873 MiB
OG89	OG89.ilmn.240716	OG89.ilmn.240716.v129mh.fna	551.212 MiB
OG91	OG91.ilmn.240313	OG91.ilmn.240313.v129mh.fna	483.208 MiB
OG95	OG95.ilmn.230620	OG95.ilmn.230620.v129mh.fna	0 B
OG99	OG99.ilmn.231024	OG99.ilmn.231024.v129mh.fna	646.545 MiB
OG100	OG100.ilmn.231024	OG100.ilmn.231024.v129mh.fna	516.645 MiB
OG101	OG101.ilmn.231024	OG101.ilmn.231024.v129mh.fna	624.513 MiB
OG103	OG103.ilmn.240313	OG103.ilmn.240313.v129mh.fna	492.499 MiB
OG105	OG105.ilmn.231024	OG105.ilmn.231024.v129mh.fna	704.348 MiB
OG107	OG107.ilmn.231024	OG107.ilmn.231024.v129mh.fna	545.198 MiB
OG108	OG108.ilmn.231024	OG108.ilmn.231024.v129mh.fna	739.512 MiB
OG110	OG110.ilmn.240716	OG110.ilmn.240716.v129mh.fna	768.940 MiB
OG111	OG111.ilmn.231024	OG111.ilmn.231024.v129mh.fna	556.031 MiB
OG113	OG113.ilmn.231024	OG113.ilmn.231024.v129mh.fna	660.699 MiB
OG114	OG114.ilmn.231024	OG114.ilmn.231024.v129mh.fna	755.446 MiB
OG115	OG115.ilmn.231024	OG115.ilmn.231024.v129mh.fna	552.956 MiB
OG116	OG116.ilmn.240313	OG116.ilmn.240313.v129mh.fna	552.716 MiB
OG117	OG117.ilmn.240313	OG117.ilmn.240313.v129mh.fna	826.523 MiB
OG118	OG118.ilmn.240313	OG118.ilmn.240313.v129mh.fna	551.712 MiB
OG119	OG119.ilmn.240313	OG119.ilmn.240313.v129mh.fna	549.486 MiB
OG120	OG120.ilmn.230620	OG120.ilmn.230620.v129mh.fna	0 B
OG121	OG121.ilmn.230620	OG121.ilmn.230620.v129mh.fna	0 B
OG122	OG122.ilmn.230620	OG122.ilmn.230620.v129mh.fna	0 B
OG123	OG123.ilmn.230620	OG123.ilmn.230620.v129mh.fna	0 B
OG124	OG124.ilmn.230620	OG124.ilmn.230620.v129mh.fna	0 B
OG125	OG125.ilmn.230620	OG125.ilmn.230620.v129mh.fna	0 B
OG126	OG126.ilmn.230620	OG126.ilmn.230620.v129mh.fna	0 B
OG127	OG127.ilmn.230620	OG127.ilmn.230620.v129mh.fna	0 B
OG128	OG128.ilmn.230620	OG128.ilmn.230620.v129mh.fna	0 B
OG129	OG129.ilmn.230620	OG129.ilmn.230620.v129mh.fna	0 B
OG130	OG130.ilmn.230620	OG130.ilmn.230620.v129mh.fna	0 B
OG131	OG131.ilmn.230620	OG131.ilmn.230620.v129mh.fna	0 B
OG179	OG179.ilmn.230814	OG179.ilmn.230814.v129mh.fna	730.934 MiB
OG180	OG180.ilmn.230814	OG180.ilmn.230814.v129mh.fna	732.629 MiB
